Exercício: 2021;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;6194341887
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;184871913,3
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;8451594,57
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;01.122 - Administração Geral;siconfi-cor_TotalDespesas;176323811,8
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU01 - Demais Subfunções;siconfi-cor_TotalDespesas;96506,88
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;30594209,03
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;30148292,52
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;445916,51
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;434554446,6
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;262414233,6
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;7861,9
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;42448622,54
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;04.128 - Formação de Recursos Humanos;siconfi-cor_TotalDespesas;16300
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;04.129 - Administração de Receitas;siconfi-cor_TotalDespesas;7436029,07
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;04.130 - Administração de Concessões;siconfi-cor_TotalDespesas;265856,32
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;121948743,2
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;16800
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;25518116,75
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;06.181 - Policiamento;siconfi-cor_TotalDespesas;1939591,88
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;2165671,65
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;06.122 - Administração Geral;siconfi-cor_TotalDespesas;21407861,22
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU06 - Demais Subfunções;siconfi-cor_TotalDespesas;4992
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;213867680,3
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;08.241 - Assistência ao Idoso;siconfi-cor_TotalDespesas;3529893,86
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;794627,05
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;52341672,58
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU08 - Demais Subfunções;siconfi-cor_TotalDespesas;157201486,8
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;387851307,7
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;09.272 - Previdência do Regime Estatutário;siconfi-cor_TotalDespesas;375525193,8
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;09.122 - Administração Geral;siconfi-cor_TotalDespesas;12326113,86
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;1074487882
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;379441318,4
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;325128016,5
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;24662751,6
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;20036555,12
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;10.305 - Vigilância Epidemiológica;siconfi-cor_TotalDespesas;165021136,6
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;147140945
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU10 - Demais Subfunções;siconfi-cor_TotalDespesas;13057158,25
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;11 - Trabalho;siconfi-cor_TotalDespesas;14899788,95
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;11.334 - Fomento ao Trabalho;siconfi-cor_TotalDespesas;5921084,12
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;11.122 - Administração Geral;siconfi-cor_TotalDespesas;7141517,83
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU11 - Demais Subfunções;siconfi-cor_TotalDespesas;1837187
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;1772634879
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;1343873114
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;12.364 - Ensino Superior;siconfi-cor_TotalDespesas;4566520,88
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;319898917,1
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;12.366 - Educação de Jovens e Adultos;siconfi-cor_TotalDespesas;28928339,84
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;12.367 - Educação Especial;siconfi-cor_TotalDespesas;22139166,7
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU12 - Demais Subfunções;siconfi-cor_TotalDespesas;53228820,7
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;13 - Cultura;siconfi-cor_TotalDespesas;25131657,92
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;13.391 - Patrimônio Histórico, Artístico e Arqueológico;siconfi-cor_TotalDespesas;95000
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;13.392 - Difusão Cultural;siconfi-cor_TotalDespesas;12717284,78
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;13.122 - Administração Geral;siconfi-cor_TotalDespesas;12269384,14
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU13 - Demais Subfunções;siconfi-cor_TotalDespesas;49989
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;14 - Direitos da Cidadania;siconfi-cor_TotalDespesas;8095727,7
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;14.422 - Direitos Individuais, Coletivos e Difusos;siconfi-cor_TotalDespesas;7617727,7
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;FU14 - Demais Subfunções;siconfi-cor_TotalDespesas;478000
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;15 - Urbanismo;siconfi-cor_TotalDespesas;1033758109
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;15.451 - Infraestrutura Urbana;siconfi-cor_TotalDespesas;351185640,2
