Exercício: 2021;;;;;;;
Escopo: Municípios do Estado - AM;;;;;;;
Tabela: Despesas Orçamentárias (Anexo I-D);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;6870786975
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;5589316800
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;2911602672
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;2669494387
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;308336070,5
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;66800917,53
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;272957793,6
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;1667345231
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;106856607,7
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.13.01 - FGTS;siconfi-cor_DO3.1.90.13.01.00;3893716,84
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;102828588,5
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;134302,42
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;155445659,3
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;8446574,86
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;42401458,71
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.94.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;40131494,54
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.90.96.00 - Ressarcimento de Despesas de Pessoal Requisitado;siconfi-cor_DO3.1.90.96.00.00;772579
Prefeitura Municipal de Manaus - AM;1302603;AM;2219580;Despesas Empenhadas;3.1.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social;siconfi-cor_DI3.1.91.00.00.00;242108285,3
