Exercício: 2022;;;;;;;
Escopo: Municípios do Estado - AM;;;;;;;
Tabela: Despesas Orçamentárias (Anexo I-D);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;68462402,29
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;61758307,5
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;33575845,36
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;33575845,36
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;17701598,12
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;14499425,22
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;1374822,02
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;1374038,88
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;783,14
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.3.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;28182462,14
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.3.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;28182462,14
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.3.90.14.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;233400
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.3.90.30.00 - Material de Consumo;siconfi-cor_DO3.3.90.30.00.00;18338776,08
Prefeitura Municipal de Itamarati - AM;1301951;AM;7777;Despesas Empenhadas;3.3.90.31.00 - Premiações Culturais, Artísticas, Científicas, Desportivas e Outras;siconfi-cor_DO3.3.90.31.00.00;18329,85
