Exercício: 2016;;;;;;;
Escopo: Municípios do Estado - AM;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;Total Receitas;siconfi-cor_TotalReceitas;34616892,03
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.0.0.0.00.00.00 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.00.00;33863370,27
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.0.0.00.00.00 - Receita Tributária;siconfi-cor_RO1.1.0.0.00.00.00;577450,31
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.1.0.00.00.00 - Impostos;siconfi-cor_RO1.1.1.0.00.00.00;569476,31
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;siconfi-cor_RO1.1.1.2.00.00.00;384845,77
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;siconfi-cor_RO1.1.1.2.02.00.00;4003,95
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;siconfi-cor_RO1.1.1.2.04.00.00;377135,22
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;siconfi-cor_RO1.1.1.2.04.31.00;140711,14
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;siconfi-cor_RO1.1.1.2.04.34.00;236424,08
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;"1.1.1.2.08.00.00 - Imposto sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI""";siconfi-cor_RO1.1.1.2.08.00.00;3706,6
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;siconfi-cor_RO1.1.1.3.00.00.00;184630,54
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN;siconfi-cor_RO1.1.1.3.05.00.00;184630,54
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.2.0.00.00.00 - Taxas;siconfi-cor_RO1.1.2.0.00.00.00;7974
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.00.00;4912
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.2.2.00.00.00 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.00.00;3062
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.1.2.2.99.00.00 - Outras Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.99.00.00;3062
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.2.0.0.00.00.00 - Receitas de Contribuições;siconfi-cor_RO1.2.0.0.00.00.00;83501,56
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.2.3.0.00.00.00 - Contribuição para Custeio do Serviço de Iluminação Pública;siconfi-cor_RO1.2.3.0.00.00.00;83501,56
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.3.0.0.00.00.00 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.00.00;113166,83
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.3.2.0.00.00.00 - Receitas de Valores Mobiliários;siconfi-cor_RO1.3.2.0.00.00.00;113166,83
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.3.2.2.00.00.00 - Dividendos;siconfi-cor_RO1.3.2.2.00.00.00;4,25
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários;siconfi-cor_RO1.3.2.5.00.00.00;113162,58
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.7.0.0.00.00.00 - Transferências Correntes;siconfi-cor_RO1.7.0.0.00.00.00;33078222,7
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.7.2.0.00.00.00 - Transferências Intergovernamentais;siconfi-cor_RO1.7.2.0.00.00.00;32883592,7
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Receitas Brutas Realizadas;1.7.2.1.00.00.00 - Transferências da União;siconfi-cor_RO1.7.2.1.00.00.00;17451251,26
