Exercício: 2020;;;;;;;
Escopo: Municípios do Estado - AM;;;;;;;
Tabela: Despesas Orçamentárias (Anexo I-D);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;96939718,01
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;86768790,76
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;31801145,38
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;31801145,38
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;5789853,85
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;24980967,76
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;310702,75
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;310702,75
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;16021,83
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.1.90.94.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;703599,19
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;54967645,38
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;54967645,38
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.14.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;23349,84
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.30.00 - Material de Consumo;siconfi-cor_DO3.3.90.30.00.00;17478334,42
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.32.00 - Material, Bem ou Serviço para Distribuição Gratuita;siconfi-cor_DO3.3.90.32.00.00;396010,9
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.33.00 - Passagens e Despesas com Locomoção;siconfi-cor_DO3.3.90.33.00.00;57924,84
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.36.00 - Outros Serviços de Terceiros - Pessoa Física;siconfi-cor_DO3.3.90.36.00.00;10511216,61
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.39.00 - Outros Serviços de Terceiros - Pessoa Jurídica;siconfi-cor_DO3.3.90.39.00.00;25648344,45
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.41.00 - Contribuições;siconfi-cor_DO3.3.90.41.00.00;40950
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.47.00 - Obrigações Tributárias e Contributivas;siconfi-cor_DO3.3.90.47.00.00;532036,55
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.48.00 - Outros Auxílios Financeiros a Pessoas Físicas;siconfi-cor_DO3.3.90.48.00.00;31200
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.3.90.91.00.00;2500
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.3.90.92.00.00;165119,15
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;3.3.90.93.00 - Indenizações e Restituições;siconfi-cor_DO3.3.90.93.00.00;80658,62
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;4.0.00.00.00 - Despesas de Capital;siconfi-cor_DO4.0.00.00.00.00;10170927,25
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;4.4.00.00.00 - Investimentos;siconfi-cor_DO4.4.00.00.00.00;9982110,38
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;4.4.90.00.00 - Aplicações Diretas;siconfi-cor_DO4.4.90.00.00.00;9982110,38
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;4.4.90.51.00 - Obras e Instalações;siconfi-cor_DO4.4.90.51.00.00;8393199,74
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;4.4.90.51.99 - Demais Obras e Instalações;siconfi-cor_DO4.4.90.51.99.00;8393199,74
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;4.4.90.52.00 - Equipamentos e Material Permanente;siconfi-cor_DO4.4.90.52.00.00;1552095,65
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;4.4.90.61.00 - Aquisição de Imóveis;siconfi-cor_DO4.4.90.61.00.00;7509,6
Prefeitura Municipal de Rio Preto da Eva - AM;1303569;AM;33347;Despesas Empenhadas;4.4.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO4.4.90.92.00.00;29305,39
