Exercício: 2019;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;140219877,1
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;3417287,91
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;3417287,91
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;19496577,44
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;16453919,99
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;2754485,84
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;288171,61
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;429414,91
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;429414,91
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;2448276,14
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;2448276,14
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;3659816,22
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;09.272 - Previdência do Regime Estatutário;siconfi-cor_TotalDespesas;3659816,22
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;24639825,6
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;20452695,4
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;2830612,76
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;339238,14
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;10.305 - Vigilância Epidemiológica;siconfi-cor_TotalDespesas;1017279,3
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;67068131,87
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;64380755,2
Prefeitura Municipal de Tabatinga - AM;1304062;AM;64488;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;2614498,77
