Exercício: 2016;;;;;;;
Escopo: Municípios do Estado - AM;;;;;;;
Tabela: Despesas Orçamentárias (Anexo I-D);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;31132081,2
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.0.00.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;29266404,71
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.00.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;16586208,57
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;16586208,57
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.90.04.00.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;4503958,49
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.90.11.00.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;10907030,29
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.90.13.00.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;143727,38
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.90.13.02.00 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;143727,38
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.90.16.00.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;572965,34
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.90.91.00.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;343712,16
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.90.92.00.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;100032,85
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.1.90.94.00.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;14782,06
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.00.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;12680196,14
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.50.00.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos;siconfi-cor_DO3.3.50.00.00.00;10510
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;12669686,14
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.14.00.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;520546,4
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.30.00.00 - Material de Consumo;siconfi-cor_DO3.3.90.30.00.00;7538940,25
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.32.00.00 - Material, Bem ou Serviço para Distribuição Gratuita;siconfi-cor_DO3.3.90.32.00.00;23000
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.33.00.00 - Passagens e Despesas com Locomoção;siconfi-cor_DO3.3.90.33.00.00;357544,13
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.35.00.00 - Serviços de Consultoria;siconfi-cor_DO3.3.90.35.00.00;236886,68
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.36.00.00 - Outros Serviços de Terceiros - Pessoa Física;siconfi-cor_DO3.3.90.36.00.00;2060291,52
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.39.00.00 - Outros Serviços de Terceiros - Pessoa Jurídica;siconfi-cor_DO3.3.90.39.00.00;896044,57
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.47.00.00 - Obrigações Tributárias e Contributivas;siconfi-cor_DO3.3.90.47.00.00;241710,41
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.92.00.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.3.90.92.00.00;615444,44
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;17668;Despesas Empenhadas;3.3.90.93.00.00 - Indenizações e Restituições;siconfi-cor_DO3.3.90.93.00.00;179277,74
